Таблица 5: Amazon Toys | k = 20,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.037661,0.018425,0.013021,0.928867,19.4759
DiffuRec,50,0.076418,0.037528,0.026592,0.855228,10.2915
SASRec,50,0.029604,0.014341,0.010076,0.840364,24.0973
GPTRec,50,0.020475,0.008728,0.005526,0.931094,9.3697
ADRec,100,0.048364,0.023934,0.017082,0.926712,37.3529
DiffuRec,100,0.073717,0.036149,0.025522,0.908411,12.7206
SASRec,100,0.030647,0.014666,0.010187,0.847581,23.5748
GPTRec,100,0.019171,0.008184,0.005175,0.932039,9.5048
T-DiffRec,-,0.022062,0.012414,0.014697,0.376424,47.4560
TopPopular,-,0.016079,0.009352,0.013559,0.002320,0.0750
Random,-,0.001630,0.000795,0.001037,1.000000,12.7537
