Таблица 9: Amazon Baby | k = 100,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.064453,0.016431,0.006473,0.966015,16.6187
DiffuRec,50,0.137438,0.034173,0.012491,0.730366,7.9981
SASRec,50,0.077000,0.018017,0.005765,0.978767,19.3891
GPTRec,50,0.078005,0.017647,0.005389,0.980948,7.0740
ADRec,100,0.075007,0.019617,0.008030,0.954334,31.9406
DiffuRec,100,0.127530,0.033963,0.014110,0.937027,11.7842
SASRec,100,0.079344,0.019196,0.006705,0.978330,17.3221
GPTRec,100,0.079846,0.018630,0.005929,0.983566,7.3713
T-DiffRec,-,0.094201,0.031120,0.023496,0.498141,30.5022
TopPopular,-,0.126398,0.029734,0.009670,0.017016,0.0556
Random,-,0.014013,0.002970,0.000805,1.000000,6.5949
