Таблица 2: ML-1M | k = 20,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.218732,0.095907,0.061633,0.610471,4.1334
DiffuRec,50,0.270011,0.126179,0.086125,0.643364,2.2412
SASRec,50,0.144357,0.060934,0.038215,0.712452,3.3499
GPTRec,50,0.131234,0.053697,0.032566,0.705352,1.6628
ADRec,100,0.240606,0.108012,0.071135,0.594024,8.0825
DiffuRec,100,0.261556,0.123052,0.083703,0.714910,2.8856
SASRec,100,0.160105,0.074027,0.050298,0.712179,4.2141
GPTRec,100,0.148731,0.060571,0.036150,0.696614,1.7455
T-DiffRec,-,0.067034,0.221758,0.407910,0.435178,4.7692
TopPopular,-,0.074921,0.323195,0.539798,0.057346,0.0531
Random,-,0.005546,0.032443,0.089579,0.999727,0.7625
