Таблица 7: Amazon Baby | k = 10,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.010807,0.006303,0.004931,0.762106,16.6187
DiffuRec,50,0.026752,0.013393,0.009375,0.284613,7.9981
SASRec,50,0.013224,0.006105,0.003997,0.745201,19.3891
GPTRec,50,0.010044,0.005051,0.003561,0.801338,7.0740
ADRec,100,0.015001,0.008305,0.006301,0.738074,31.9406
DiffuRec,100,0.028592,0.015191,0.011196,0.562391,11.7842
SASRec,100,0.012220,0.006427,0.004718,0.733130,17.3221
GPTRec,100,0.012889,0.006086,0.004050,0.805701,7.3713
T-DiffRec,-,0.017973,0.012194,0.018307,0.198275,30.5022
TopPopular,-,0.020099,0.009813,0.006692,0.002472,0.0556
Random,-,0.001132,0.000635,0.000487,1.000000,6.5949
