Таблица 1: ML-1M | k = 10,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.146943,0.077673,0.056585,0.508498,4.1334
DiffuRec,50,0.191657,0.106514,0.080801,0.526488,2.2412
SASRec,50,0.089239,0.047092,0.034465,0.582469,3.3499
GPTRec,50,0.077865,0.040169,0.028837,0.592572,1.6628
ADRec,100,0.163208,0.088300,0.065647,0.494792,8.0825
DiffuRec,100,0.195039,0.106246,0.079099,0.596668,2.8856
SASRec,100,0.106737,0.060616,0.046658,0.575096,4.2141
GPTRec,100,0.095363,0.047007,0.032390,0.574276,1.7455
T-DiffRec,-,0.038635,0.236453,0.401935,0.353152,4.7692
TopPopular,-,0.041675,0.346054,0.534723,0.037411,0.0531
Random,-,0.002777,0.032845,0.081014,0.991535,0.7625
