Таблица 4: Amazon Toys | k = 10,,,,,,
Model,Maxlen,Recall,NDCG,MRR,Coverage,Latency
ADRec,50,0.026932,0.015691,0.012259,0.846538,19.4759
DiffuRec,50,0.056092,0.032402,0.025194,0.730217,10.2915
SASRec,50,0.021518,0.012333,0.009544,0.719993,24.0973
GPTRec,50,0.012259,0.006660,0.004963,0.842254,9.3697
ADRec,100,0.035536,0.020748,0.016238,0.840536,37.3529
DiffuRec,100,0.054805,0.031375,0.024215,0.809863,12.7206
SASRec,100,0.022692,0.012681,0.009656,0.731248,23.5748
GPTRec,100,0.011998,0.006399,0.004701,0.845863,9.5048
T-DiffRec,-,0.014711,0.010172,0.013733,0.286358,47.4560
TopPopular,-,0.009372,0.007009,0.012120,0.001289,0.0750
Random,-,0.000732,0.000483,0.000818,0.999227,12.7537
